sid1,sid2,route,mins
382,3545,145,0.5
395,4102,145,2.0
616,2013,36,2.5
616,2014,36,2.75
965,1676,36,1.0
965,3577,36,0.8833333333333333
965,5020,36,0.7
968,4713,36,1.1333333333333333
969,2599,36,0.13333333333333333
969,3048,36,0.6333333333333333
970,3246,36,1.25
982,3084,36,0.38333333333333336
982,4289,36,0.44166666666666665
983,4139,36,0.38333333333333336
984,2600,36,0.13333333333333333
984,3574,36,1.6333333333333333
985,968,36,1.0
986,3083,36,0.13333333333333333
986,4139,36,0.8833333333333333
987,965,36,0.5
987,1676,36,2.625
987,2732,36,2.1333333333333333
1065,1347,36,3.75
1066,1347,36,3.75
1066,3554,36,0.13333333333333333
1068,1923,36,1.25
1261,2380,36,5.633333333333334
1262,3765,36,0.38333333333333336
1334,4006,36,0.6333333333333333
1335,4091,36,2.5
1336,1338,36,1.25
1336,1352,36,0.75
1336,4784,36,3.3833333333333333
1338,1335,36,1.75
1338,1351,36,1.25
1340,3556,36,3.3833333333333333
1340,3560,36,2.8833333333333333
1341,1343,36,1.5
1341,1710,36,7.0
1343,2667,36,0.6333333333333333
1343,4246,36,0.38333333333333336
1347,1341,36,0.75
1347,5227,36,0.1
1348,1349,36,1.5
1349,1340,36,4.5
1349,1716,36,2.0
1350,1351,36,1.0
1351,1352,36,1.5
1351,2660,36,6.133333333333334
1351,3540,36,0.13333333333333333
1351,3793,36,0.1
1351,4090,36,4.75
1351,5609,36,0.1
1352,1712,36,2.5
1352,3184,36,0.13333333333333333
1352,4002,36,1.6333333333333333
1352,4280,36,0.8833333333333333
1354,3066,36,1.1333333333333333
1355,1336,36,1.25
1615,3208,36,0.5
1615,3209,36,1.25
1615,5020,36,1.2
1643,965,36,2.0
1643,1646,36,1.0
1643,3097,36,1.1333333333333333
1645,3256,36,2.25
1646,3910,36,0.1
1676,1679,36,1.25
1676,3184,36,2.5
1676,3543,36,0.13333333333333333
1676,3557,36,5.133333333333334
1679,3256,36,0.75
1679,3906,36,0.1
1707,1709,36,1.75
1709,1351,36,6.0
1710,1338,36,1.0
1712,1714,36,1.25
1714,3058,36,0.8833333333333333
1716,2857,36,1.8833333333333333
1718,1720,36,2.0
1720,1707,36,1.0
1720,2450,36,1.1333333333333333
1720,3791,36,2.85
1923,2654,36,3.5
1923,3372,36,2.0
1923,3551,36,0.13333333333333333
2013,3222,36,2.25
2013,3223,36,3.25
2014,3081,36,0.13333333333333333
2014,3217,36,5.5
2014,3223,36,1.25
2015,2449,36,0.8833333333333333
2196,2851,36,1.8666666666666667
2230,3538,145,2.25
2234,3529,145,1.25
2387,2230,145,2.0
2538,4139,145,0.75
2542,2544,23,1.5
2542,4139,145,0.0
2544,2545,23,0.75
2545,4588,23,2.816666666666667
2584,1336,145,1.8666666666666667
2585,4590,145,3.75
2592,1584,23,0.25
2599,984,145,1.1166666666666667
2600,373,145,2.433333333333333
2600,2601,145,4.25
2600,2602,145,1.25
2601,987,145,0.8666666666666667
2601,2604,145,8.0
2602,2614,145,3.5
2604,2605,145,1.5
2605,2608,145,2.0
2607,4120,145,2.0
2608,1671,145,6.933333333333334
2613,3087,145,0.016666666666666666
2614,3564,145,18.5
2614,4253,145,0.13333333333333333
2617,2767,145,2.2666666666666666
2618,2619,145,1.0
2618,5020,145,30.75
2619,1643,145,1.1333333333333333
2619,3446,145,0.11666666666666667
2622,2850,145,3.0
2623,985,145,3.8833333333333333
2623,2600,145,0.75
2654,3443,36,0.13333333333333333
2654,4223,36,0.38333333333333336
2655,1068,36,1.5
2669,2670,36,1.0
2670,1065,36,1.5
2670,5608,36,0.85
2763,2386,145,2.5
2824,2827,145,3.0
2827,2833,145,6.5
2830,3237,145,2.1166666666666667
2833,2023,145,1.25
2833,2623,145,6.5
2837,395,145,2.0
2838,2848,145,24.25
2838,4489,145,1.9333333333333333
2838,4670,145,0.9333333333333333
2843,4099,145,1.0
2846,4155,145,0.11666666666666667
2848,2849,145,1.5
2848,4139,145,11.933333333333334
2849,3419,145,0.11666666666666667
2850,2653,145,0.75
2851,3203,145,0.13333333333333333
2852,4155,145,0.8666666666666667
2854,3235,145,1.3833333333333333
2855,3230,145,3.8833333333333333
2857,1720,145,1.1166666666666667
2931,2838,145,3.5
2931,3418,145,0.11666666666666667
2933,2820,145,2.0
2933,3361,145,0.11666666666666667
2934,2933,145,1.75
2934,3364,145,1.8666666666666667
3184,2223,145,1.25
3184,2607,36,1.8833333333333333
3184,4006,145,0.75
3184,5020,36,1.2
3193,3244,36,0.75
3195,3241,36,2.25
3200,3241,36,0.75
3201,3202,36,1.0
3202,3126,36,1.1
3203,3205,36,3.25
3203,5020,36,1.2
3204,3205,36,1.0
3205,2854,36,1.1166666666666667
3205,3236,36,2.0
3208,3209,36,0.75
3209,2855,36,0.11666666666666667
3209,3133,36,1.1
3212,3231,36,1.0
3212,4270,36,2.75
3213,3717,36,0.13333333333333333
3214,3212,36,2.0
3215,3771,36,1.1333333333333333
3217,1262,36,2.5
3217,4100,36,0.13333333333333333
3218,3224,36,1.0
3220,3222,36,0.5
3222,2387,36,5.883333333333334
3222,3049,36,0.13333333333333333
3223,3148,36,3.35
3223,3215,36,6.75
3223,4003,36,1.8833333333333333
3224,4139,36,24.883333333333333
3225,3057,36,8.383333333333333
3226,1261,36,1.0
3227,3142,36,0.35
3228,4676,36,1.25
3229,3228,36,5.0
3230,3229,36,18.0
3230,5020,36,0.2
3231,2820,36,0.8833333333333333
3232,3138,36,3.1
3232,3230,36,1.0
3233,3212,36,1.25
3233,3234,36,1.0
3233,3238,36,5.25
3234,1671,36,0.8833333333333333
3235,1615,36,0.75
3235,2028,36,0.38333333333333336
3236,1615,36,0.5
3237,2833,36,0.13333333333333333
3237,3076,36,2.6333333333333333
3238,3566,36,1.8833333333333333
3239,2023,36,0.6333333333333333
3239,3747,36,2.8833333333333333
3240,3098,36,2.1333333333333333
3241,2196,36,5.75
3241,3046,36,2.1333333333333333
3241,3242,36,0.5
3242,4099,36,2.1333333333333333
3244,2767,36,1.1333333333333333
3244,3123,36,2.1
3244,3195,36,0.5
3246,2452,36,1.6333333333333333
3246,3193,36,0.75
3249,1340,145,2.1166666666666667
3256,3534,36,2.3833333333333333
3256,4253,36,3.25
3297,2015,23,0.11666666666666667
3359,1923,36,1.125
3359,2622,36,0.38333333333333336
3359,3566,36,0.6333333333333333
3360,3361,36,1.25
3360,3371,36,1.5
3360,3567,36,0.38333333333333336
3361,3362,36,1.0
3361,3370,36,0.75
3362,2934,36,0.13333333333333333
3363,3370,36,0.25
3363,3371,36,1.0
3364,3363,36,1.0
3364,3535,36,0.13333333333333333
3364,4220,36,5.5
3368,2672,36,0.8833333333333333
3368,3450,36,1.5
3370,3448,36,4.25
3370,4219,36,1.5
3371,3368,36,2.25
3371,4219,36,0.75
3372,3359,36,0.5
3372,3360,36,1.0
3414,3577,36,0.6333333333333333
3417,3168,36,0.1
3418,2660,36,0.8833333333333333
3418,3445,36,1.0
3419,2931,36,0.6333333333333333
3420,2654,36,1.6333333333333333
3420,4155,36,5.0
3442,3443,36,1.25
3442,3444,36,3.25
3443,4223,36,1.25
3444,3448,36,2.5
3445,3447,36,1.25
3446,2618,36,0.13333333333333333
3446,3447,36,0.5
3446,4223,36,2.5
3447,2159,36,0.6
3447,3448,36,0.5
3448,3364,36,4.0
3448,3420,36,5.75
3448,4217,36,1.0
3448,4223,36,5.5
3449,3539,36,0.38333333333333336
3450,2230,36,0.6333333333333333
3450,3414,36,1.25
3450,4718,36,0.5
3528,2387,145,3.0
3529,3817,145,10.5
3538,382,145,2.75
3541,2234,145,5.0
3545,3572,145,3.5
3551,3554,145,1.0
3554,3562,145,4.0
3562,2618,145,20.25
3564,3565,145,0.75
3565,3566,145,0.75
3566,3571,145,2.75
3571,3575,145,2.0
3572,3551,145,0.25
3575,3541,145,4.0
3717,3239,145,6.366666666666666
3747,2538,145,1.5
3765,3213,145,1.3666666666666667
3771,3772,145,0.75
3772,4139,145,5.0
3773,2014,145,0.11666666666666667
3817,3528,145,10.25
4004,987,36,3.75
4008,2614,36,1.1166666666666667
4010,4011,36,2.25
4010,4097,36,2.25
4010,4289,36,0.13333333333333333
4011,2380,36,4.383333333333334
4011,2584,36,3.1333333333333333
4011,4012,36,2.0
4012,1336,36,5.25
4090,4091,36,0.5
4090,4094,36,3.5
4090,4123,36,0.11666666666666667
4091,4092,36,1.625
4092,375,36,1.1333333333333333
4092,3566,36,1.1333333333333333
4093,3261,36,0.8833333333333333
4094,3184,36,10.0
4097,4004,36,7.5
4097,4010,36,1.0
4097,5020,36,0.8833333333333333
4120,2670,145,2.3666666666666667
4120,2934,145,1.25
4123,1672,145,0.18333333333333332
4123,3058,145,3.2666666666666666
4155,2232,36,0.8833333333333333
4155,2665,36,0.6333333333333333
4155,2846,36,0.8833333333333333
4155,2848,36,2.3833333333333333
4155,3442,36,1.125
4217,2626,36,0.85
4217,3359,36,6.75
4217,3448,36,1.0
4218,2230,36,0.38333333333333336
4218,3364,36,1.25
4219,3359,36,1.25
4219,3372,36,1.0
4220,2669,36,3.25
4220,3541,36,0.8833333333333333
4223,3418,36,0.75
4223,3420,36,5.0
4223,3446,36,0.75
4253,2023,36,1.1333333333333333
4253,2386,36,1.1333333333333333
4253,2763,36,0.38333333333333336
4253,3090,36,1.8833333333333333
4266,3233,36,5.25
4270,4784,36,2.3833333333333333
4280,2014,145,1.1166666666666667
4280,3796,145,0.21666666666666667
4289,3561,145,2.933333333333333
4289,4011,145,1.1166666666666667
4289,5020,23,0.4666666666666666
4588,3534,145,4.933333333333334
4590,3076,145,7.933333333333334
4676,3226,36,0.75
4676,4938,36,1.1166666666666667
4718,4217,36,0.5
4938,3218,145,2.3833333333333333
4952,3297,23,1.0
5020,982,145,0.05
5020,1615,145,0.05
5020,1643,145,0.05
5020,2592,145,0.18333333333333332
5020,3176,145,0.9333333333333333
5020,3178,145,1.1833333333333333
5020,3203,145,0.05
5020,3232,145,0.05
5020,3261,145,0.43333333333333335
5020,3560,145,0.25
5020,3773,145,10.75
5020,3880,145,0.21666666666666667
5020,3914,145,6.216666666666667
5020,4289,145,0.11666666666666667
5020,5072,145,8.5
5072,2824,145,14.25
5072,4952,145,3.933333333333333
5312,4280,145,0.25
5325,3570,36,2.8833333333333333
5365,2450,36,0.13333333333333333
5388,4844,145,1.4666666666666666
375,3261,w,10.419316027906769
3261,375,w,10.419316027906769
965,987,w,9.365853826943633
987,965,w,9.365853826943633
